U,2.,5.0.4.,3.
H,135.16449357520787,3,3
H,137.85413832199555,3,3
L,5,140.58919690098253,156.58919690098253
P,3,0.4.5.,13.5.10.
H,140.56313303099026,3,3
H,142.09178004535156,3,3
H,144.66532501889654,3,3
L,0,146.83407785336365,159.83407785336365
P,3,0.4.5.,7.5.10.
H,147.16147014361306,3,3
H,149.01573318216182,3,3
H,150.85397959183678,3,3
H,152.78897581254728,3,3
H,153.83387377173096,3,3
H,154.66592214663646,3,3
H,156.77506802721095,3,3
H,157.93606575963724,3,3
H,158.92291383219958,3,3
H,160.7805102040817,3,3
H,161.9028080120938,3,2
H,162.92835600907034,3,2
H,165.05286470143614,3,2
H,166.0784126984127,3,3
L,0,166.47095616024197,177.47095616024197
P,3,0.4.5.,11.5.10.
H,167.04591080876793,3,2
H,169.11635676492818,3,2
H,169.63880574452003,3,3
H,170.62565381708237,3,2
H,171.8253514739229,3,2
H,172.85089947089946,3,2
H,173.81839758125474,3,3
H,174.36019652305365,3,2
H,174.63109599395312,3,3
H,174.92134542705972,3,2
H,175.3083446712018,3,3
H,175.77274376417233,3,2
H,176.85634164777022,3,3
H,177.04984126984127,3,2
H,180.4747845804989,3,3
H,181.63244897959183,3,3
H,181.90334845049134,3,2
H,182.11619803476944,3,3
H,182.36774754346183,3,2
H,182.6579969765684,3,3
H,182.9095464852608,3,2
H,183.18044595616024,3,3
H,185.154142101285,3,3
H,185.42504157218443,3,2
H,185.59919123204838,3,3
H,185.81204081632657,3,2
H,186.04424036281176,3,3
H,186.1990400604686,3,2
H,186.450589569161,3,3
H,186.64408919123207,3,2
H,186.9343386243386,3,3
H,187.01173847316707,3,2
H,188.2114361300076,3,3
H,188.42428571428567,3,2
H,189.41113378684813,3,3
H,189.68203325774755,3,2
H,189.93358276643997,3,3
L,5,190.41502456538157,200.41502456538157
P,3,0.4.5.,11.5.9.
H,190.14643235071804,3,2
H,190.49473167044593,3,3
H,190.72693121693123,3,2
H,190.95913076341654,3,3
H,191.53962962962962,3,3
H,192.1007785336357,3,3
H,192.7006273620559,3,3
H,192.99087679516256,3,2
H,194.01642479213913,3,3
H,194.40342403628117,3,2
H,194.5969236583522,3,3
H,194.79042328042328,3,2
H,195.13872260015117,3,3
H,195.85467120181409,3,3
H,196.06752078609227,3,2
H,196.31907029478458,3,3
H,196.49321995464854,3,2
H,196.89956916099777,3,3
H,197.1704686318972,3,2
H,197.26721844293277,3,3
